url,manually_checked_api,active,error_type
140.109.23.192,,False,['HTTPS and HTTP requests failed']
164.100.34.62,,False,['HTTPS and HTTP requests failed']
164.100.47.194,,False,['HTTPS and HTTP requests failed']
192.147.231.244:9090,,False,['HTTPS and HTTP requests failed']
196.43.99.13,,False,['HTTPS and HTTP requests failed']
203.112.218.67,,False,['HTTPS and HTTP requests failed']
213.149.105.122,,False,['HTTPS and HTTP requests failed']
34.250.143.34,,False,['HTTPS and HTTP requests failed']
45.84.1.176,,False,['HTTPS and HTTP requests failed']
62.3.171.221,,False,['HTTPS and HTTP requests failed']
6sense.com,,False,['HTTPS and HTTP requests failed']
7uuu.windheat.eu,,False,['HTTPS and HTTP requests failed']
84.240.176.128,,False,['HTTPS and HTTP requests failed']
93.119.13.98,,False,['HTTPS and HTTP requests failed']
accounts.ecitizen.go.ke,,False,['HTTPS and HTTP requests failed']
achieve.lausd.net,,False,['HTTPS and HTTP requests failed']
acikveri.sahinbey.bel.tr,,False,['HTTPS and HTTP requests failed']
aemet.es,,False,['HTTPS and HTTP requests failed']
afghanistandataproject.org,,False,['HTTPS and HTTP requests failed']
agev.opp.gub.uy,,False,['HTTPS and HTTP requests failed']
agridata.coa.gov.tw,,False,['HTTPS and HTTP requests failed']
agroleasing.uz,,False,['HTTPS and HTTP requests failed']
aidanhogan.com,,False,['HTTPS and HTTP requests failed']
aihw.gov.au,,False,['HTTPS and HTTP requests failed']
air.tehran.ir,,False,['HTTPS and HTTP requests failed']
alaskaaga.gina.alaska.edu,,False,['HTTPS and HTTP requests failed']
alcts.ala.org,,False,['HTTPS and HTTP requests failed']
amiba.net,,False,['HTTPS and HTTP requests failed']
amsterdamopendata.nl,,False,['HTTPS and HTTP requests failed']
anaconda.org,,False,['HTTPS and HTTP requests failed']
anant.us,,False,['HTTPS and HTTP requests failed']
anr.state.vt.us,,False,['HTTPS and HTTP requests failed']
antimon.gov.uz,,False,['HTTPS and HTTP requests failed']
apgc.awi.de,,False,['HTTPS and HTTP requests failed']
api.tcm.ce.gov.br,,False,['HTTPS and HTTP requests failed']
app.cidades.gov.br,,False,['HTTPS and HTTP requests failed']
app.kitchener.ca,,False,['HTTPS and HTTP requests failed']
app03.cne.gob.ec,,False,['HTTPS and HTTP requests failed']
applications002.brest-metropole.fr,,False,['HTTPS and HTTP requests failed']
apps.ecmwf.int,,False,['HTTPS and HTTP requests failed']
apps.warwickshire.gov.uk,,False,['HTTPS and HTTP requests failed']
appscvs.supercias.gob.ec,,False,['HTTPS and HTTP requests failed']
arcticatlas.geobotany.org,,False,['HTTPS and HTTP requests failed']
ardennemetropole.opendatasoft.com,,False,['HTTPS and HTTP requests failed']
arenysdemunt.smartgovs.info,,False,['HTTPS and HTTP requests failed']
atlantaregional.com,,False,['HTTPS and HTTP requests failed']
atu.minregion.gov.ua,,False,['HTTPS and HTTP requests failed']
au.linkedin.com,,False,['HTTPS and HTTP requests failed']
azgs.az.gov,,False,['HTTPS and HTTP requests failed']
azuremarketplace.microsoft.com,,False,['HTTPS and HTTP requests failed']
bayonne-opendatapaysbasque.opendatasoft.com,,False,['HTTPS and HTTP requests failed']
bcgov.github.io,,False,['HTTPS and HTTP requests failed']
bchi.bigcitieshealth.org,,False,['HTTPS and HTTP requests failed']
belgeodesy.by,,False,['HTTPS and HTTP requests failed']
belohorizonte.azure-eastus-prod.socrata.com,,False,['HTTPS and HTTP requests failed']
berkeley.demo.socrata.com,,False,['HTTPS and HTTP requests failed']
bermuda.io,,False,['HTTPS and HTTP requests failed']
beta.datahub.freightaustralia.gov.au,,False,['HTTPS and HTTP requests failed']
biobot.io,,False,['HTTPS and HTTP requests failed']
bistrotdepays.opendatasoft.com,,False,['HTTPS and HTTP requests failed']
blue-eco.idsci.nagasaki-u.ac.jp,,False,['HTTPS and HTTP requests failed']
bmd.gov.bd,,False,['HTTPS and HTTP requests failed']
bme.gouv.ht,,False,['HTTPS and HTTP requests failed']
bmgf.demo.socrata.com,,False,['HTTPS and HTTP requests failed']
bps.go.id,,False,['HTTPS and HTTP requests failed']
br.ckan.net,,False,['HTTPS and HTTP requests failed']
