url,active,validated,manually_checked_api,suspected_api,api_working,api_version,error_type
140.109.23.192,False,False,,,,,['HTTPS and HTTP requests failed']
164.100.34.62,False,False,,,,,['HTTPS and HTTP requests failed']
164.100.47.194,False,False,,,,,['HTTPS and HTTP requests failed']
192.147.231.244:9090,False,False,,,,,['HTTPS and HTTP requests failed']
196.43.99.13,False,False,,,,,['HTTPS and HTTP requests failed']
203.112.218.67,False,False,,,,,['HTTPS and HTTP requests failed']
213.149.105.122,False,False,,,,,['HTTPS and HTTP requests failed']
34.250.143.34,False,False,,,,,['HTTPS and HTTP requests failed']
45.84.1.176,False,False,,,,,['HTTPS and HTTP requests failed']
62.3.171.221,False,False,,,,,['HTTPS and HTTP requests failed']
6sense.com,False,False,,,,,['HTTPS and HTTP requests failed']
7uuu.windheat.eu,False,False,,,,,['HTTPS and HTTP requests failed']
84.240.176.128,False,False,,,,,['HTTPS and HTTP requests failed']
93.119.13.98,False,False,,,,,['HTTPS and HTTP requests failed']
accounts.ecitizen.go.ke,False,False,,,,,['HTTPS and HTTP requests failed']
achieve.lausd.net,False,False,,,,,['HTTPS and HTTP requests failed']
acikveri.sahinbey.bel.tr,False,False,,,,,['HTTPS and HTTP requests failed']
aemet.es,False,False,,,,,['HTTPS and HTTP requests failed']
afghanistandataproject.org,False,False,,,,,['HTTPS and HTTP requests failed']
agev.opp.gub.uy,False,False,,,,,['HTTPS and HTTP requests failed']
agridata.coa.gov.tw,False,False,,,,,['HTTPS and HTTP requests failed']
agroleasing.uz,False,False,,,,,['HTTPS and HTTP requests failed']
aidanhogan.com,False,False,,,,,['HTTPS and HTTP requests failed']
aihw.gov.au,False,False,,,,,['HTTPS and HTTP requests failed']
air.tehran.ir,False,False,,,,,['HTTPS and HTTP requests failed']
alaskaaga.gina.alaska.edu,False,False,,,,,['HTTPS and HTTP requests failed']
alcts.ala.org,False,False,,,,,['HTTPS and HTTP requests failed']
amiba.net,False,False,,,,,['HTTPS and HTTP requests failed']
amsterdamopendata.nl,False,False,,,,,['HTTPS and HTTP requests failed']
anaconda.org,False,False,,,,,['HTTPS and HTTP requests failed']
anant.us,False,False,,,,,['HTTPS and HTTP requests failed']
anr.state.vt.us,False,False,,,,,['HTTPS and HTTP requests failed']
antimon.gov.uz,False,False,,,,,['HTTPS and HTTP requests failed']
apgc.awi.de,False,False,,,,,['HTTPS and HTTP requests failed']
api.tcm.ce.gov.br,False,False,,,,,['HTTPS and HTTP requests failed']
app.cidades.gov.br,False,False,,,,,['HTTPS and HTTP requests failed']
app.kitchener.ca,False,False,,,,,['HTTPS and HTTP requests failed']
app03.cne.gob.ec,False,False,,,,,['HTTPS and HTTP requests failed']
applications002.brest-metropole.fr,False,False,,,,,['HTTPS and HTTP requests failed']
apps.ecmwf.int,False,False,,,,,['HTTPS and HTTP requests failed']
apps.warwickshire.gov.uk,False,False,,,,,['HTTPS and HTTP requests failed']
appscvs.supercias.gob.ec,False,False,,,,,['HTTPS and HTTP requests failed']
arcticatlas.geobotany.org,False,False,,,,,['HTTPS and HTTP requests failed']
ardennemetropole.opendatasoft.com,False,False,,,,,['HTTPS and HTTP requests failed']
arenysdemunt.smartgovs.info,False,False,,,,,['HTTPS and HTTP requests failed']
atlantaregional.com,False,False,,,,,['HTTPS and HTTP requests failed']
atu.minregion.gov.ua,False,False,,,,,['HTTPS and HTTP requests failed']
au.linkedin.com,False,False,,,,,['HTTPS and HTTP requests failed']
azgs.az.gov,False,False,,,,,['HTTPS and HTTP requests failed']
azuremarketplace.microsoft.com,False,False,,,,,['HTTPS and HTTP requests failed']
bayonne-opendatapaysbasque.opendatasoft.com,False,False,,,,,['HTTPS and HTTP requests failed']
bcgov.github.io,False,False,,,,,['HTTPS and HTTP requests failed']
bchi.bigcitieshealth.org,False,False,,,,,['HTTPS and HTTP requests failed']
belgeodesy.by,False,False,,,,,['HTTPS and HTTP requests failed']
belohorizonte.azure-eastus-prod.socrata.com,False,False,,,,,['HTTPS and HTTP requests failed']
berkeley.demo.socrata.com,False,False,,,,,['HTTPS and HTTP requests failed']
bermuda.io,False,False,,,,,['HTTPS and HTTP requests failed']
beta.datahub.freightaustralia.gov.au,False,False,,,,,['HTTPS and HTTP requests failed']
biobot.io,False,False,,,,,['HTTPS and HTTP requests failed']
bistrotdepays.opendatasoft.com,False,False,,,,,['HTTPS and HTTP requests failed']
blue-eco.idsci.nagasaki-u.ac.jp,False,False,,,,,['HTTPS and HTTP requests failed']
bmd.gov.bd,False,False,,,,,['HTTPS and HTTP requests failed']
bme.gouv.ht,False,False,,,,,['HTTPS and HTTP requests failed']
bmgf.demo.socrata.com,False,False,,,,,['HTTPS and HTTP requests failed']
bps.go.id,False,False,,,,,['HTTPS and HTTP requests failed']
br.ckan.net,False,False,,,,,['HTTPS and HTTP requests failed']
bristol.azure-westeurope-prod.socrata.com,False,False,,,,,['HTTPS and HTTP requests failed']
bruneiweather.com.bn,False,False,,,,,['HTTPS and HTTP requests failed']
bscscan.com,False,False,,,,,['HTTPS and HTTP requests failed']
budget.gov.ru,False,False,,,,,['HTTPS and HTTP requests failed']
builtenvironmentplus.org,False,False,,,,,['HTTPS and HTTP requests failed']
buncombecounty.org,False,False,,,,,['HTTPS and HTTP requests failed']
bzp0.portal.uzp.gov.pl,False,False,,,,,['HTTPS and HTTP requests failed']
caf-data.atlas-forestier.org,False,False,,,,,['HTTPS and HTTP requests failed']
can-do.honolulu.gov,False,False,,,,,['HTTPS and HTTP requests failed']
capmas.gov.eg,False,False,,,,,['HTTPS and HTTP requests failed']
caricomstats.org,False,False,,,,,['HTTPS and HTTP requests failed']
cartolleida.paeria.es,False,False,,,,,['HTTPS and HTTP requests failed']
cat.open.org.nz,False,False,,,,,['HTTPS and HTTP requests failed']
catalog.bnhhospital.com,False,False,,,,,['HTTPS and HTTP requests failed']
catalog.opendata.in.th,False,False,,,,,['HTTPS and HTTP requests failed']
catalogo.datosabiertos.gob.ec,False,False,,,,,['HTTPS and HTTP requests failed']
catalogue.data.grandlyon.com,False,False,,,,,['HTTPS and HTTP requests failed']
catalogue.datalocale.fr,False,False,,,,,['HTTPS and HTTP requests failed']
catalogue.infogeo54.fr,False,False,,,,,['HTTPS and HTTP requests failed']
cbs.gov.sd,False,False,,,,,['HTTPS and HTTP requests failed']
cbs4indy.com,False,False,,,,,['HTTPS and HTTP requests failed']
cdph.data.ca.gov,False,False,,,,,['HTTPS and HTTP requests failed']
censys.io,False,False,,,,,['HTTPS and HTTP requests failed']
cgrweb.cgr.go.cr,False,False,,,,,['HTTPS and HTTP requests failed']
chhs.data.ca.gov,False,False,,,,,['HTTPS and HTTP requests failed']
cidev.uky.edu,False,False,,,,,['HTTPS and HTTP requests failed']
citywindsor.ca,False,False,,,,,['HTTPS and HTTP requests failed']
ckan-dlsc-dev.unl.edu,False,False,,,,,['HTTPS and HTTP requests failed']
ckan.app.ecocommons.org.au,False,False,,,,,['HTTPS and HTTP requests failed']
ckan.earlham.ac.uk,False,False,,,,,['HTTPS and HTTP requests failed']
ckan.emap.fgv.br,False,False,,,,,['HTTPS and HTTP requests failed']
ckan.gsi.go.jp,False,False,,,,,['HTTPS and HTTP requests failed']
ckan.mx,False,False,,,,,['HTTPS and HTTP requests failed']
ckan.net,False,False,,,,,['HTTPS and HTTP requests failed']
ckan.odp.jig.jp,False,False,,,,,['HTTPS and HTTP requests failed']
ckan.samarindakota.go.id,False,False,,,,,['HTTPS and HTTP requests failed']
ckan.sbs-app.com,False,False,,,,,['HTTPS and HTTP requests failed']
ckanau.org,False,False,,,,,['HTTPS and HTTP requests failed']
cloud.cnr.gob.sv,False,False,,,,,['HTTPS and HTTP requests failed']
cmda.gov.uz,False,False,,,,,['HTTPS and HTTP requests failed']
cmo.org.tt,False,False,,,,,['HTTPS and HTTP requests failed']
cmr-data.atlas-forestier.org,False,False,,,,,['HTTPS and HTTP requests failed']
cms-staging-v1-archived.demo.socrata.com,False,False,,,,,['HTTPS and HTTP requests failed']
cms.burlington.ca,False,False,,,,,['HTTPS and HTTP requests failed']
cngo.ca,False,False,,,,,['HTTPS and HTTP requests failed']
co.amador.ca.us,False,False,,,,,['HTTPS and HTTP requests failed']
co.pierce.wa.us,False,False,,,,,['HTTPS and HTTP requests failed']
codepen.io,False,False,,,,,['HTTPS and HTTP requests failed']
cofelyservices.opendatasoft.com,False,False,,,,,['HTTPS and HTTP requests failed']
cog-data.atlas-forestier.org,False,False,,,,,['HTTPS and HTTP requests failed']
coloradogeologicalsurvey.org,False,False,,,,,['HTTPS and HTTP requests failed']
community.wix.com,False,False,,,,,['HTTPS and HTTP requests failed']
comunidad.comprasdominicana.gob.do,False,False,,,,,['HTTPS and HTTP requests failed']
connecteddata.nationalgrid.co.uk,False,False,,,,,['HTTPS and HTTP requests failed']
conseil.general.manche.fr,False,False,,,,,['HTTPS and HTTP requests failed']
content.govdelivery.com,False,False,,,,,['HTTPS and HTTP requests failed']
context.reverso.net,False,False,,,,,['HTTPS and HTTP requests failed']
contraloria.gob.pa,False,False,,,,,['HTTPS and HTTP requests failed']
cookislands.pacificweather.org,False,False,,,,,['HTTPS and HTTP requests failed']
copyprogramming.com,False,False,,,,,['HTTPS and HTTP requests failed']
cpcbenvis.nic.in,False,False,,,,,['HTTPS and HTTP requests failed']
craft.co,False,False,,,,,['HTTPS and HTTP requests failed']
csb.gov.lv,False,False,,,,,['HTTPS and HTTP requests failed']
cso-yemen.org,False,False,,,,,['HTTPS and HTTP requests failed']
css.ethz.ch,False,False,,,,,['HTTPS and HTTP requests failed']
cw33.com,False,False,,,,,['HTTPS and HTTP requests failed']
cw39.com,False,False,,,,,['HTTPS and HTTP requests failed']
cz.ckan.net,False,False,,,,,['HTTPS and HTTP requests failed']
czso.cz,False,False,,,,,['HTTPS and HTTP requests failed']
dados.al.gov.br,False,False,,,,,['HTTPS and HTTP requests failed']
dados.df.gov.br,False,False,,,,,['HTTPS and HTTP requests failed']
dados.fortaleza.ce.gov.br,False,False,,,,,['HTTPS and HTTP requests failed']
dados.novohamburgo.rs.gov.br,False,False,,,,,['HTTPS and HTTP requests failed']
dados.pbh.gov.br,False,False,,,,,['HTTPS and HTTP requests failed']
dadosabertos.cl.df.gov.br,False,False,,,,,['HTTPS and HTTP requests failed']
dadosabertos.ibama.gov.br,False,False,,,,,['HTTPS and HTTP requests failed']
dadosabertos.tce.mg.gov.br,False,False,,,,,['HTTPS and HTTP requests failed']
damocun.pw,False,False,,,,,['HTTPS and HTTP requests failed']
dartportal.leeds.ac.uk,False,False,,,,,['HTTPS and HTTP requests failed']
data-dot-one.gitbooks.io,False,False,,,,,['HTTPS and HTTP requests failed']
data.aberdeencity.gov.uk,False,False,,,,,['HTTPS and HTTP requests failed']
data.act.gov.au,False,False,,,,,['HTTPS and HTTP requests failed']
data.agglo-royan.fr,False,False,,,,,['HTTPS and HTTP requests failed']
data.amsterdam.nl,False,False,,,,,['HTTPS and HTTP requests failed']
data.atf.gov,False,False,,,,,['HTTPS and HTTP requests failed']
data.awcnet.org,False,False,,,,,['HTTPS and HTTP requests failed']
data.bls.gov,False,False,,,,,['HTTPS and HTTP requests failed']
