url,api_software,number_of_datasets,number_of_resources,timestamp
http://101.79.9.128,CKAN,2,4,2023-08-13 18:11:57
http://103.231.194.8,CKAN,0,0,2023-08-13 18:12:00
http://116.203.208.239,CKAN,303,381,2023-08-13 18:12:14
http://129.194.213.24,CKAN,0,0,2023-08-13 18:12:16
http://130.179.67.140,CKAN,55,214,2023-08-13 18:12:20
http://185.75.55.180,CKAN,21,10,2023-08-13 18:12:22
http://192.241.154.193,CKAN,5,7,2023-08-13 18:12:25
http://3.237.95.96,CKAN,1,1,2023-08-13 18:12:27
http://84.38.48.220,CKAN,5711,9719,2023-08-13 18:13:16
http://ambar.utpl.edu.ec,CKAN,591,1271,2023-08-13 18:13:21
http://aperto.comune.torino.it,CKAN,1983,3066,2023-08-13 18:14:12
http://catalog.industrie.gov.tn,CKAN,261,843,2023-08-13 18:14:18
http://ckan.acs.beniculturali.it,CKAN,56,213,2023-08-13 18:14:21
http://ckan.project-hobbit.eu,CKAN,0,0,2023-08-13 18:14:24
http://ckan.qrowd.aksw.org,CKAN,88,428,2023-08-13 18:14:26
http://ckan.restore.ovi.cnr.it,CKAN,5,46,2023-08-13 18:14:29
http://ckan29.cbwaterhub.ca,CKAN,332,775,2023-08-13 18:14:32
http://dados.natal.br,CKAN,19,256,2023-08-13 18:14:36
http://dados.prefeitura.sp.gov.br,CKAN,183,4176,2023-08-13 18:14:55
http://dados.recife.pe.gov.br,CKAN,150,1037,2023-08-13 18:15:00
http://data.rcc.uchicago.edu,CKAN,2,19,2023-08-13 18:15:03
http://data.treasury.ri.gov,CKAN,389,2683,2023-08-13 18:15:15
http://data.ug,CKAN,474,2784,2023-08-13 18:15:27
http://data.zagreb.hr,CKAN,130,564,2023-08-13 18:15:30
http://dataportal.saeri.org,CKAN,555,477,2023-08-13 18:16:17
http://dati.comune.lecce.it,CKAN,792,3940,2023-08-13 18:16:21
http://dati.comune.matera.it,CKAN,242,689,2023-08-13 18:16:25
http://datos.arona.org,CKAN,18,69,2023-08-13 18:16:30
http://datos.codeandomexico.org,CKAN,9712,55919,2023-08-13 18:17:12
http://datosabiertos.fuengirola.es,CKAN,13,15,2023-08-13 18:17:14
http://datosabiertos.pergamino.gob.ar,CKAN,119,390,2023-08-13 18:17:23
http://entropy-opendata.inf.um.es,CKAN,3,3,2023-08-13 18:17:25
http://goodpa.regione.marche.it,CKAN,5711,9719,2023-08-13 18:18:17
http://linkeddatacatalog.dws.informatik.uni-mannheim.de,CKAN,1921,5098,2023-08-13 18:18:28
http://opencaribbean.org,CKAN,386,4450,2023-08-13 18:18:32
http://opendata.ayto-caceres.es,CKAN,,,2023-08-13 18:18:44
http://opendata.caceres.es,CKAN,,,2023-08-13 18:18:57
http://opendata.calstate.edu,CKAN,8,60,2023-08-13 18:19:00
http://opendata.lisra.jp,CKAN,14,59,2023-08-13 18:19:04
http://ribes-135.man.poznan.pl:8080,CKAN,56,1311,2023-08-13 18:19:06
http://www.agridata.tn,CKAN,901,1313,2023-08-13 18:19:15
http://www.daten.rlp.de,CKAN,6088,28121,2023-08-13 18:19:38
