url,api_software,number_of_datasets,number_of_supported_datasets,timestamp
https://acoss.opendatasoft.com,Opendatasoft,109,109,2023-08-10 21:36:00
https://aix-en-provence.opendatasoft.com,Opendatasoft,53,53,2023-08-10 21:36:02
https://analisis.datosabiertos.jcyl.es,Opendatasoft,355,355,2023-08-10 21:36:05
https://analyzejerseycity.opendatasoft.com,Opendatasoft,1256,1256,2023-08-10 21:36:10
https://angersloiremetropole.opendatasoft.com,Opendatasoft,149,149,2023-08-10 21:36:13
https://anglet-opendatapaysbasque.opendatasoft.com,Opendatasoft,92,92,2023-08-10 21:36:16
https://anruopendata.opendatasoft.com,Opendatasoft,3,3,2023-08-10 21:36:18
https://ares-digitalwallonia.opendatasoft.com,Opendatasoft,18,18,2023-08-10 21:36:21
https://australiademo.opendatasoft.com,Opendatasoft,51,51,2023-08-10 21:36:26
https://auvergne-rhone-alpes-dataeducation.opendatasoft.com,Opendatasoft,0,0,2023-08-10 21:36:28
https://ballarat-demo-victoria.opendatasoft.com,Opendatasoft,1,1,2023-08-10 21:36:32
https://birdz.opendatasoft.com,Opendatasoft,12,12,2023-08-10 21:36:35
https://bologna.opendatasoft.com,Opendatasoft,633,633,2023-08-10 21:36:39
https://boulognebillancourt-seineouest.opendatasoft.com,Opendatasoft,60,60,2023-08-10 21:36:41
https://bpce.opendatasoft.com,Opendatasoft,184,184,2023-08-10 21:36:44
https://breizh.opendatasoft.com,Opendatasoft,204,204,2023-08-10 21:36:47
https://bretagne-dataeducation.opendatasoft.com,Opendatasoft,0,0,2023-08-10 21:36:50
https://bristol.opendatasoft.com,Opendatasoft,247,247,2023-08-10 21:36:53
https://cachan.opendatasoft.com,Opendatasoft,70,70,2023-08-10 21:36:56
https://cchb-lafibre64-data64.opendatasoft.com,Opendatasoft,12,12,2023-08-10 21:36:58
https://centrevaldeloire.opendatasoft.com,Opendatasoft,294,294,2023-08-10 21:37:03
https://chateaurouxmetropole.opendatasoft.com,Opendatasoft,91,91,2023-08-10 21:37:06
https://chaville-seineouest.opendatasoft.com,Opendatasoft,26,26,2023-08-10 21:37:08
https://cityofsalinas.opendatasoft.com,Opendatasoft,65,65,2023-08-10 21:37:11
https://civis.opendatasoft.com,Opendatasoft,8,8,2023-08-10 21:37:14
https://cloudbirst.my.opendatasoft.com,Opendatasoft,3,3,2023-08-10 21:37:16
https://cnav.opendatasoft.com,Opendatasoft,19,19,2023-08-10 21:37:19
https://codeforanchorage.opendatasoft.com,Opendatasoft,0,0,2023-08-10 21:37:22
https://codeforcary.opendatasoft.com,Opendatasoft,16,16,2023-08-10 21:37:24
https://color-big-header-theme-discovery.opendatasoft.com,Opendatasoft,29,29,2023-08-10 21:37:27
https://corbeil-essonnes-grandparissud.opendatasoft.com,Opendatasoft,3,3,2023-08-10 21:37:29
https://cudunkerque.opendatasoft.com,Opendatasoft,150,150,2023-08-10 21:37:33
https://culture.opendatasoft.com,Opendatasoft,145,145,2023-08-10 21:37:36
https://dadesobertes.fgc.cat,Opendatasoft,34,34,2023-08-10 21:37:39
https://dark-big-header-alternative-theme-discovery.opendatasoft.com,Opendatasoft,29,29,2023-08-10 21:37:41
https://dashboardcovid.trial.opendatasoft.com,Opendatasoft,12,12,2023-08-10 21:37:44
https://data.82numerique.fr,Opendatasoft,130,130,2023-08-10 21:37:47
https://data.agen.fr,Opendatasoft,91,91,2023-08-10 21:37:50
