url,api_software,number_of_datasets,number_of_supported_datasets,timestamp
http://data.cookcountyil.gov,Socrata,1169,459,2023-08-15 13:48:11
https://albany.demo.socrata.com,Socrata,53,31,2023-08-15 13:48:15
https://benchmarkstudy.socrata.com,Socrata,86,30,2023-08-15 13:48:21
https://bronx.lehman.cuny.edu,Socrata,4319,3209,2023-08-15 13:49:41
https://bythenumbers.sco.ca.gov,Socrata,128,125,2023-08-15 13:49:46
https://calgary-odp.data.socrata.com,Socrata,981,405,2023-08-15 13:50:06
https://cdc.socrata.com,Socrata,1552,916,2023-08-15 13:50:32
https://celebratingcities.data.socrata.com,Socrata,92,45,2023-08-15 13:50:37
https://checkbooknyc.socrata.com,Socrata,37,1,2023-08-15 13:50:40
https://chicago.socrata.com,Socrata,1712,794,2023-08-15 13:51:17
https://cohesiondata.ec.europa.eu,Socrata,1378,100,2023-08-15 13:51:42
https://colombia-mintic.data.socrata.com,Socrata,31484,6786,2023-08-15 14:20:42
https://cookcounty.socrata.com,Socrata,1169,459,2023-08-15 14:21:14
https://cstx.data.socrata.com,Socrata,64,15,2023-08-15 14:21:17
https://cthru.data.socrata.com,Socrata,749,448,2023-08-15 14:21:26
https://data.albanyny.gov,Socrata,53,31,2023-08-15 14:21:29
https://data.austintexas.gov,Socrata,4105,1982,2023-08-15 14:22:53
https://data.bloomington.in.gov,Socrata,348,211,2023-08-15 14:22:59
https://data.calgary.ca,Socrata,981,405,2023-08-15 14:23:16
https://data.cdc.gov,Socrata,1552,916,2023-08-15 14:23:53
https://data.chattlibrary.org,Socrata,907,219,2023-08-15 14:24:17
https://data.cincinnati-oh.gov,Socrata,158,109,2023-08-15 14:24:22
https://data.cityofchicago.org,Socrata,1712,794,2023-08-15 14:24:49
https://data.cityofevanston.org,Socrata,389,219,2023-08-15 14:24:55
https://data.cityofgainesville.org,Socrata,223,54,2023-08-15 14:25:02
https://data.colorado.gov,Socrata,2021,643,2023-08-15 14:25:36
https://data.cstx.gov,Socrata,64,15,2023-08-15 14:25:40
https://data.ct.gov,Socrata,1513,624,2023-08-15 14:26:02
https://data.culvercity.org,Socrata,51,19,2023-08-15 14:26:06
https://data.edmonton.ca,Socrata,2523,1429,2023-08-15 14:26:57
https://data.fortworthtexas.gov,Socrata,12,9,2023-08-15 14:27:00
https://data.hartford.gov,Socrata,1470,620,2023-08-15 14:27:31
https://data.honolulu.gov,Socrata,346,281,2023-08-15 14:27:37
https://data.iowa.gov,Socrata,1551,582,2023-08-15 14:28:25
https://data.kcmo.org,Socrata,445,207,2023-08-15 14:28:33
https://data.kingcounty.gov,Socrata,609,220,2023-08-15 14:28:43
https://data.lacity.org,Socrata,1684,384,2023-08-15 14:29:17
https://data.maryland.gov,Socrata,7,7,2023-08-15 14:29:20
https://data.memphistn.gov,Socrata,218,99,2023-08-15 14:29:26
https://data.michigan.gov,Socrata,674,322,2023-08-15 14:29:44
https://data.mo.gov,Socrata,770,441,2023-08-15 14:29:55
https://data.montgomerycountymd.gov,Socrata,1012,345,2023-08-15 14:30:23
https://data.montgomeryschoolsmd.org,Socrata,325,41,2023-08-15 14:30:33
https://data.nashville.gov,Socrata,130,77,2023-08-15 14:30:37
https://data.ny.gov,Socrata,5681,4172,2023-08-15 14:32:54
https://data.oaklandca.gov,Socrata,775,371,2023-08-15 14:33:04
https://data.ojp.usdoj.gov,Socrata,552,48,2023-08-15 14:33:12
https://data.oregon.gov,Socrata,1921,440,2023-08-15 14:33:41
https://data.princegeorgescountymd.gov,Socrata,82,36,2023-08-15 14:33:45
https://data.providenceri.gov,Socrata,348,240,2023-08-15 14:33:55
https://data.redmond.gov,Socrata,48,13,2023-08-15 14:33:59
https://data.richmondgov.com,Socrata,86,22,2023-08-15 14:34:03
https://data.roseville.ca.us,Socrata,134,43,2023-08-15 14:34:07
https://data.seattle.gov,Socrata,1184,310,2023-08-15 14:34:30
https://data.smcgov.org,Socrata,1564,401,2023-08-15 14:35:09
https://data.somervillema.gov,Socrata,59,54,2023-08-15 14:35:13
https://data.sonomacounty.ca.gov,Socrata,214,43,2023-08-15 14:35:18
https://data.strathcona.ca,Socrata,402,209,2023-08-15 14:35:25
https://data.usaid.gov,Socrata,1752,1059,2023-08-15 14:35:58
https://data.vermont.gov,Socrata,328,170,2023-08-15 14:36:05
https://data.virginia.gov,Socrata,701,410,2023-08-15 14:36:19
https://data.wa.gov,Socrata,2490,1813,2023-08-15 14:37:07
https://data.weho.org,Socrata,95,34,2023-08-15 14:37:11
