url,api_working,api_software,api_version,dcat_available,ttl_catalog_available
http://101.79.9.128,True,CKAN,2.9.4,False,False
http://103.231.194.8,True,CKAN,2.7.7,False,False
http://116.203.208.239,True,CKAN,2.8.2,False,False
http://129.194.213.24,True,CKAN,2.5.2,False,False
http://130.179.67.140,True,CKAN,2.2.1,False,False
http://185.75.55.180,True,CKAN,2.9.5,False,False
http://192.241.154.193,True,CKAN,2.8.0,False,False
http://3.237.95.96,True,CKAN,2.9.3,False,False
http://84.38.48.220,True,CKAN,2.2,False,False
http://ambar.utpl.edu.ec,True,CKAN,2.8.3,False,False
http://aperto.comune.torino.it,True,CKAN,2.8.1,True,False
http://catalog.industrie.gov.tn,True,CKAN,Unknown,True,True
http://ckan.acs.beniculturali.it,True,CKAN,2.4.1,False,False
http://ckan.project-hobbit.eu,True,CKAN,2.6.0b,Check failed,Check failed
http://ckan.qrowd.aksw.org,True,CKAN,2.6.2,False,False
http://ckan.restore.ovi.cnr.it,True,CKAN,2.9.0,False,False
http://ckan29.cbwaterhub.ca,True,CKAN,2.9.7,False,False
http://dados.natal.br,True,CKAN,2.7.3,False,False
http://dados.prefeitura.sp.gov.br,True,CKAN,2.4.1,False,False
http://dados.recife.pe.gov.br,True,CKAN,2.8.2,False,False
http://data.rcc.uchicago.edu,True,CKAN,2.2.1,False,False
http://data.treasury.ri.gov,True,CKAN,2.3,False,False
http://data.ug,True,CKAN,2.5.3,False,False
http://data.zagreb.hr,True,CKAN,2.5.2,False,False
http://dataportal.saeri.org,True,CKAN,2.8.2,False,False
http://dati.comune.lecce.it,True,CKAN,2.6.6,True,True
http://dati.comune.matera.it,True,CKAN,2.6.2,True,True
http://datos.arona.org,True,CKAN,2.4.9,False,False
http://datos.codeandomexico.org,True,CKAN,2.9.7,False,False
http://datosabiertos.fuengirola.es,True,CKAN,2.4.0,False,False
http://datosabiertos.pergamino.gob.ar,True,CKAN,2.7.6,True,True
http://entropy-opendata.inf.um.es,True,CKAN,2.8.1,False,False
http://goodpa.regione.marche.it,True,CKAN,2.2,False,False
http://linkeddatacatalog.dws.informatik.uni-mannheim.de,True,CKAN,2.2.4,False,False
http://opencaribbean.org,True,CKAN,2.6.3,False,False
http://opendata.ayto-caceres.es,True,CKAN,2.7.4,True,False
http://opendata.caceres.es,True,CKAN,2.7.4,True,False
http://opendata.calstate.edu,True,CKAN,2.4.0,False,False
http://opendata.lisra.jp,True,CKAN,2.0.2,False,False
http://ribes-135.man.poznan.pl:8080,True,CKAN,2.8.3,False,False
http://www.agridata.tn,True,CKAN,2.6.6,True,True
http://www.daten.rlp.de,True,CKAN,2.9.9,True,True
http://www.datosabiertos.mendoza.gov.ar,True,CKAN,2.7.6,Check failed,Check failed
http://www.openculture.gov.tn,True,CKAN,2.5.3,True,False
http://www.opendata.ps,True,CKAN,2.9.2,False,False
https://africaopendata.org,True,CKAN,2.8.3,True,True
https://api.foodsecurityportal.org,True,CKAN,2.9.7,False,False
https://b2find.eudat.eu,True,CKAN,2.9.8,False,False
https://beta.ckan.org,True,CKAN,2.10.0b0,False,False
https://cadatacatalog.state.gov,True,CKAN,2.9.6,False,False
https://catalog.data.gov,True,CKAN,2.10.1,True,True
https://catalogodatos.gub.uy,True,CKAN,2.9.3,True,False
https://catalogue.dev.cioosatlantic.ca,True,CKAN,2.9.7,True,True
https://catalogue.hakai.org,True,CKAN,2.9.7,True,True
https://cct.opencitieslab.org,True,CKAN,2.9.0a,False,False
https://ckan-ecoevo.d4science.org,True,CKAN,2.6.7,True,True
https://ckan.africadatahub.org,True,CKAN,2.9.0a,False,False
https://ckan.americaview.org,True,CKAN,2.8.4,False,False
https://ckan.clarity.cismet.de,True,CKAN,2.9.0a,False,False
https://ckan.dev.egov.md,True,CKAN,2.9.4,Check failed,Check failed
https://ckan.dewberryanalytics.com,True,CKAN,2.9.7,True,True
https://ckan.emac.gsfc.nasa.gov,True,CKAN,2.8.3,False,False
https://ckan.grassroots.tools,True,CKAN,2.8.2,True,True
https://ckan.iotlab.com,True,CKAN,2.10.0,False,False
https://ckan.iotlab.eu,True,CKAN,2.10.0,False,False
https://ckan.meghalayadataportal.com,True,CKAN,2.10.1,True,True
https://ckan.publishing.service.gov.uk,True,CKAN,Unknown,Check failed,Check failed
https://ckan.smartenschede.nl,True,CKAN,2.8.5,False,False
https://ckan0.cf.opendata.inter.prod-toronto.ca,True,CKAN,2.9.9,False,False
https://ckanprod-alma.ucar.edu,True,CKAN,2.9.9,False,False
https://coj.opencitieslab.org,True,CKAN,2.9.0a,False,False
https://cybercommons-data.hpc.okstate.edu,True,CKAN,2.8.2,False,False
https://cybercommons-data.hpcc.okstate.edu,True,CKAN,2.8.2,False,False
https://dados.mg.gov.br,True,CKAN,2.9.5,False,False
https://dados.portoalegre.rs.gov.br,True,CKAN,2.7.2,False,False
https://dados.rs.gov.br,True,CKAN,2.5.2,False,False
https://dados.tce.rs.gov.br,True,CKAN,2.8.2,False,False
https://dadosabertos.cnpq.br,True,CKAN,2.8.0,False,False
https://dadosabertos.tse.jus.br,True,CKAN,2.9.3,False,False
https://dadosabertos.ufms.br,True,CKAN,2.9.5,False,False
https://data-staging.ubdc.ac.uk,True,CKAN,2.9.9,True,True
https://data.amerigeoss.org,True,CKAN,2.8.2,True,True
https://data.aurin.org.au,True,CKAN,2.9.9,False,False
https://data.belitung.go.id,True,CKAN,2.8.4,False,False
https://data.birminghamal.gov,True,CKAN,2.7.12,True,True
https://data.boston.gov,True,CKAN,2.7.12,True,True
https://data.buenosaires.gob.ar,True,CKAN,2.9.8,False,False
https://data.ca.gov,True,CKAN,2.7.12,True,True
https://data.capitol.texas.gov,True,CKAN,2.8.2,False,False
https://data.chhs.ca.gov,True,CKAN,2.7.12,True,True
https://data.ci.newark.nj.us,True,CKAN,2.7.12,True,True
https://data.cityofdenton.com,True,CKAN,2.7.12,True,True
https://data.cnra.ca.gov,True,CKAN,2.7.12,True,True
https://data.code4sa.org,True,CKAN,2.8.4,False,False
https://data.dide.ic.ac.uk,True,CKAN,2.9.0,False,False
https://data.disl.edu,True,CKAN,2.9.6,False,False
https://data.dundeecity.gov.uk,True,CKAN,2.7.5,True,False
https://data.ed.gov,True,CKAN,2.9.9,False,False
https://data.eqe-lab.com,True,CKAN,2.10.0,False,False
https://data.go.th,True,CKAN,2.8.3,False,False
https://data.gov.ie,True,CKAN,2.8.12,True,True
https://data.gov.ro,True,CKAN,2.8.3,True,True
https://data.gov.sk,True,CKAN,2.2.3,True,True
https://data.gov.tt,True,CKAN,2.8.3,False,False
https://data.gov.ua,True,CKAN,2.7.2,True,True
https://data.gv.at/katalog,True,CKAN,2.9.9,True,True
https://data.halmaherautarakab.go.id,True,CKAN,2.9.8,False,False
https://data.houstontx.gov,True,CKAN,2.9.9,True,True
https://data.humdata.org,True,CKAN,2.9.9,True,True
https://data.illinois.gov,True,CKAN,2.7.4,False,False
https://data.kdl.kcl.ac.uk,True,CKAN,2.8.0b,False,False
https://data.milwaukee.gov,True,CKAN,2.7.12,True,True
https://data.montreal.ca,True,CKAN,2.9.9,True,False
https://data.nbco.gov.ie,True,CKAN,2.9.8,True,True
https://data.nhm.ac.uk,True,CKAN,2.9.9.1,True,True
https://data.ok.gov,True,CKAN,2.7.12,True,True
https://data.ontario.ca,True,CKAN,2.9.7,False,False
https://data.opendata.am,True,CKAN,Unknown,False,False
https://data.openstate.eu,True,CKAN,2.8.3,True,True
https://data.overheid.nl/data,True,CKAN,2.8.2,False,True
https://data.pkc.gov.uk,True,CKAN,2.7.7,True,False
https://data.reach-incubator.eu,True,CKAN,2.7.2,False,False
https://data.renfe.com,True,CKAN,2.8.2,False,False
https://data.rsud.tulungagung.go.id,True,CKAN,2.9.2,False,False
https://data.sanantonio.gov,True,CKAN,2.7.12,True,True
https://data.sanjoseca.gov,True,CKAN,2.7.12,True,True
https://data.sba.gov,True,CKAN,2.9.2,False,False
https://data.spatialhub.scot,True,CKAN,2.9.5,True,True
https://data.staging.sba.gov,True,CKAN,2.9.2,False,False
https://data.subak.org,True,CKAN,2.9.5,True,True
https://data.surrey.ca,True,CKAN,2.8.10,False,False
https://data.tainan.gov.tw,True,CKAN,2.7.3,False,False
https://data.temanggungkab.go.id,True,CKAN,2.9.7,False,False
https://data.ucar.edu,True,CKAN,2.9.9,False,False
https://data.visualisingballarat.org.au,True,CKAN,2.9.5,True,True
https://data.waterpathogens.org,True,CKAN,2.8.3,False,False
https://data.wprdc.org,True,CKAN,2.10.0,True,True
https://data.wu.ac.at/portal,True,CKAN,2.8.3,False,False
https://data2.cerdi.edu.au,True,CKAN,2.9.5,True,True
https://datahub-perovskites.nrel.gov,True,CKAN,2.9.5,False,False
https://datahub.chemcatbio.org,True,CKAN,2.8.2,False,False
https://datahub.duramat.org,True,CKAN,2.8.2,False,False
https://datahub.electrocat.org,True,CKAN,2.8.2,False,False
https://datahub.h2awsm.org,True,CKAN,2.8.2,False,False
https://datahub.hymarc.org,True,CKAN,2.9.6,False,False
https://datamx.io,True,CKAN,2.9.7,False,False
https://dataset.pustakadata.id,True,CKAN,2.9.5,False,False
https://datasets.wri.org,True,CKAN,2.4.9,False,False
https://dataunderground.org,True,CKAN,2.8.3,False,False
https://dati.toscana.it,True,CKAN,2.8.3,True,True
