url,api_software,number_of_datasets,number_of_supported_datasets,timestamp
https://acoss.opendatasoft.com,Opendatasoft,110,110,2023-09-02 23:20:50
https://aix-en-provence.opendatasoft.com,Opendatasoft,53,53,2023-09-02 23:21:58
https://analisis.datosabiertos.jcyl.es,Opendatasoft,355,355,2023-09-02 23:29:24
https://analyzejerseycity.opendatasoft.com,Opendatasoft,1275,1275,2023-09-03 00:00:50
https://angersloiremetropole.opendatasoft.com,Opendatasoft,149,149,2023-09-03 00:04:05
https://anglet-opendatapaysbasque.opendatasoft.com,Opendatasoft,93,93,2023-09-03 00:06:05
https://anruopendata.opendatasoft.com,Opendatasoft,3,3,2023-09-03 00:06:10
https://ares-digitalwallonia.opendatasoft.com,Opendatasoft,18,18,2023-09-03 00:06:33
https://australiademo.opendatasoft.com,Opendatasoft,51,51,2023-09-03 00:08:28
https://auvergne-rhone-alpes-dataeducation.opendatasoft.com,Opendatasoft,0,0,2023-09-03 00:08:29
https://ballarat-demo-victoria.opendatasoft.com,Opendatasoft,1,1,2023-09-03 00:08:33
https://birdz.opendatasoft.com,Opendatasoft,12,12,2023-09-03 00:08:49
https://bologna.opendatasoft.com,Opendatasoft,635,635,2023-09-03 00:22:06
https://boulognebillancourt-seineouest.opendatasoft.com,Opendatasoft,60,60,2023-09-03 00:23:30
https://bpce.opendatasoft.com,Opendatasoft,184,184,2023-09-03 00:27:33
https://breizh.opendatasoft.com,Opendatasoft,205,205,2023-09-03 00:32:04
https://bretagne-dataeducation.opendatasoft.com,Opendatasoft,0,0,2023-09-03 00:32:05
https://bristol.opendatasoft.com,Opendatasoft,247,247,2023-09-03 00:37:12
https://cachan.opendatasoft.com,Opendatasoft,70,70,2023-09-03 00:38:46
https://cchb-lafibre64-data64.opendatasoft.com,Opendatasoft,12,12,2023-09-03 00:39:10
https://centrevaldeloire.opendatasoft.com,Opendatasoft,294,294,2023-09-03 00:46:27
https://chateaurouxmetropole.opendatasoft.com,Opendatasoft,90,90,2023-09-03 00:48:31
https://chaville-seineouest.opendatasoft.com,Opendatasoft,26,26,2023-09-03 00:49:06
https://cityofsalinas.opendatasoft.com,Opendatasoft,65,65,2023-09-03 00:50:44
https://civis.opendatasoft.com,Opendatasoft,9,9,2023-09-03 00:51:00
