url,manually_checked_api
ckan.publishing.service.gov.uk,CKAN
beta.avoindata.fi,CKAN
dados.gov.br,CKAN
data.gov.md/ckan,CKAN
catalog.data.gov,CKAN
ckan.data.graz.gv.at,CKAN
www.data.gv.at/katalog,CKAN
ckan.data.ktn.gv.at,CKAN
ckan.data.linz.gv.at,CKAN
data.nsw.gov.au/data,CKAN
data.ok.gov,CKAN
data.qld.gov.au,CKAN
data.salzburgerland.com,CKAN
catalog.data.ug,CKAN
data.upf.edu/en,CKAN
data.wu.ac.at/portal,CKAN
dataforjapan.org,CKAN
datagm.org.uk,CKAN
www.daten.rlp.de,CKAN
search.geothermaldata.org,CKAN
gisdata.mn.gov,CKAN
apigobiernoabiertocatalog.valencia.es,CKAN
iatiregistry.org,CKAN
offenedaten.de,CKAN
data.europa.eu/euodp/en/data,CKAN
data.opencolorado.org,CKAN
opendata.aragon.es/catalogo,CKAN
opendata.lisra.jp,CKAN
opendatacanarias.es/datos,CKAN
portal.openbelgium.be,CKAN
publicdata.eu,CKAN
suche.transparenz.hamburg.de:80,CKAN
udct-data.aigid.jp,CKAN
data.amsterdamopendata.nl,CKAN
www.civicdata.io,CKAN
www.data.go.jp/data,CKAN
www.datagm.org.uk,CKAN
www.offene-daten.me,CKAN
data.opendataforum.info,CKAN
www.opendatamalta.org/ckan,CKAN
data.yorkopendata.org,CKAN
data.gov.hk/tc-data,CKAN
data.noaa.gov/dataset,CKAN
data.overheid.nl/data,CKAN
data.sa.gov.au/data,CKAN
hub.datanorthyorkshire.org,CKAN
dati.lazio.it/catalog/it,CKAN
data.edinburghopendata.info,CKAN
www.govdata.de/ckan,CKAN
open.canada.ca/data,CKAN
open.nrw/api,CKAN
data.opendataportal.at,CKAN
130.179.67.140,CKAN
africaopendata.org,CKAN
annuario.comune.fi.it,CKAN
bermuda.io,CKAN
bistrotdepays.opendatasoft.com,OpenDataSoft
bmgf.demo.socrata.com,Socrata
bythenumbers.sco.ca.gov,Socrata
catalogo.datosabiertos.gob.ec,CKAN
catalogue.datalocale.fr,CKAN
cdph.data.ca.gov,Socrata
ckan.gsi.go.jp,CKAN
ckan.odp.jig.jp,CKAN
ckan.okfn.gr,CKAN
ckanau.org,CKAN
dados.al.gov.br,CKAN
dados.recife.pe.gov.br,CKAN
dadosabertos.senado.gov.br,CKAN
dartportal.leeds.ac.uk,CKAN
data.atf.gov,Socrata
data.cityofchicago.org,Socrata
data.cityofdeleon.org,Socrata
data.cityofsantacruz.com,CKAN
data.cityoftacoma.org,Socrata
data.cms.hhs.gov,Socrata
data.dcpcsb.org,Socrata
data.edmonton.ca,Socrata
data.eindhoven.nl,OpenDataSoft
data.glasgow.gov.uk,CKAN
data.go.id,CKAN
data.gov.au,CKAN
data.gov.bf,CKAN
data.gov.gr,CKAN
data.gov.hr,CKAN
data.gov.ie,CKAN
data.gov.ro,CKAN
data.grcity.us,CKAN
data.hawaii.gov,Socrata
data.houstontx.gov,CKAN
data.iledefrance.fr,OpenDataSoft
data.illinois.gov,CKAN
data.london.gov.uk,CKAN
data.medicare.gov,Socrata
data.michigan.gov,Socrata
data.murphytx.org,Socrata
data.nhm.ac.uk,CKAN
data.nj.gov,Socrata
data.nola.gov,Socrata
data.ohouston.org,CKAN
data.openpolice.ru,CKAN
data.openva.com,CKAN
data.oregon.gov,Socrata
data.ottawa.ca,CKAN
data.rio.rj.gov.br,CKAN
data.seattle.gov,Socrata
data.somervillema.gov,Socrata
data.surrey.ca,CKAN
data.tainan.gov.tw,CKAN
data.undp.org,Socrata
data.wa.gov,Socrata
data.wellingtonfl.gov,Socrata
data.winnipeg.ca,Socrata
data.wokingham.gov.uk,Socrata
data.zagreb.hr,CKAN
datacatalog.cookcountyil.gov,Socrata
datahub.io,CKAN
datameti.go.jp/data,CKAN
datamx.io,CKAN
daten.buergernetz.bz.it/de,CKAN
dati.toscana.it,CKAN
dati.trentino.it,CKAN
dati.veneto.it,CKAN
datos.argentina.gob.ar,CKAN
datos.codeandomexico.org,CKAN
datosabiertos.malaga.eu,CKAN
datospublicos.org,CKAN
donnees.ville.montreal.qc.ca,CKAN
donnees.ville.sherbrooke.qc.ca,CKAN
dot.demo.socrata.com,Socrata
drdsi.jrc.ec.europa.eu,CKAN
healthmeasures.aspe.hhs.gov,Socrata
hubofdata.ru,CKAN
inforegio.azure-westeurope-prod.socrata.com,Socrata
irs.demo.socrata.com,Socrata
leedsdatamill.org,CKAN
linkeddatacatalog.dws.informatik.uni-mannheim.de,CKAN
nycopendata.socrata.com,Socrata
opendata.admin.ch,CKAN
opendata.awt.be,CKAN
opendata.ayto-caceres.es,CKAN
opendata.caceres.es,CKAN
opendata.cnmc.es,CKAN
opendata.comune.bari.it,CKAN
opendata.go.tz,CKAN
opendata.hu,CKAN
opendata.opennorth.se,CKAN
opendata.paris.fr.opendatasoft.com,OpenDataSoft
opendata.rubi.cat,Socrata
opendatadc.org,CKAN
opendatagortynia.gr,CKAN
opendatahub.gr,CKAN
opendatareno.org,CKAN
opengov.es,CKAN
openresearchdata.ch,CKAN
opingogn.is,CKAN
www.chattadata.org,Socrata
performance.westsussex.gov.uk,Socrata
pod.opendatasoft.com,OpenDataSoft
public.opendatasoft.com,OpenDataSoft
rdw.azure-westeurope-prod.socrata.com,Socrata
rotterdamopendata.nl,CKAN
rs.ckan.net,CKAN
scisf.opendatasoft.com,OpenDataSoft
tourisme04.opendatasoft.com,OpenDataSoft
tourisme62.opendatasoft.com,OpenDataSoft
www.datos.misiones.gov.ar,CKAN
www.hri.fi,CKAN
www.metrochicagodata.com,Socrata
www.nosdonnees.fr,CKAN
www.odaa.dk,CKAN
www.opendata-hro.de,CKAN
www.opendata.go.ke,Socrata
www.opendata.provincia.roma.it,CKAN
www.opendatanyc.com,Socrata
belohorizonte.azure-eastus-prod.socrata.com,Socrata
berkeley.demo.socrata.com,Socrata
bristol.azure-westeurope-prod.socrata.com,Socrata
bronx.lehman.cuny.edu,Socrata
catalogodatos.gub.uy,CKAN
controllerdata.lacity.org,Socrata
dados.rs.gov.br,CKAN
danepubliczne.gov.pl,CKAN
data.aberdeencity.gov.uk,CKAN
data.acgov.org,Socrata
data.act.gov.au,Socrata
data.albanyny.gov,Socrata
data.austintexas.gov,Socrata
data.baltimorecity.gov,Socrata
data.bris.ac.uk/data,CKAN
data.burlingtonvt.gov,Socrata
data.cdc.gov,Socrata
data.boston.gov,CKAN
data.cityofmadison.com,Socrata
data.cityofnewyork.us,Socrata
data.colorado.gov,Socrata
data.consumerfinance.gov,Socrata
data.ct.gov,Socrata
data.culvercity.org,Socrata
data.datamontana.us,Socrata
data.energystar.gov,Socrata
data.gov.lv,CKAN
data.gov.sk,CKAN
data.hartford.gov,Socrata
data.hdx.rwlabs.org,CKAN
data.honolulu.gov,Socrata
data.humdata.org,CKAN
data.illinois.gov/belleville,Socrata
data.illinois.gov/champaign,Socrata
data.illinois.gov/rockford,Socrata
data.kcmo.org,Socrata
data.kingcounty.gov,Socrata
data.kk.dk,CKAN
data.lexingtonky.gov,CKAN
data.maryland.gov,Socrata
data.mo.gov,Socrata
data.montgomerycountymd.gov,Socrata
data.nfpa.org,Socrata
data.ny.gov,Socrata
data.oaklandnet.com,Socrata
data.opendatasoft.com,OpenDataSoft
data.providenceri.gov,Socrata
data.raleighnc.gov,Socrata
data.redmond.gov,Socrata
data.sfgov.org,Socrata
data.sheffield.gov.uk,Socrata
data.southbendin.gov,Socrata
data.stadt-zuerich.ch,CKAN
data.taxpayer.net,Socrata
data.vermont.gov,Socrata
data.weatherfordtx.gov,Socrata
datapilot.american.edu,Socrata
dataratp.opendatasoft.com,OpenDataSoft
dati.lombardia.it,Socrata
datos.alcobendas.org,CKAN
datosabiertos.ayto-arganda.es,CKAN
datosabiertos.rivasciudad.es,CKAN
edx.netl.doe.gov,CKAN
exploredata.gov.ro,Socrata
finances.worldbank.org,Socrata
gavaobert.gavaciutat.cat,Socrata
hampton.demo.socrata.com,Socrata
health.data.ny.gov,Socrata
healthdata.nj.gov,Socrata
nats.demo.socrata.com/login,Socrata
open.whitehouse.gov,Socrata
opendata.bayern.de,CKAN
opendata.bristol.gov.uk,OpenDataSoft
opendata.brussels.be,OpenDataSoft
opendata.government.bg,CKAN
opendata.lasvegasnevada.gov,Socrata
opendata.paris.fr,OpenDataSoft
opendata.socrata.com,Socrata
opendata.swiss,CKAN
opendata.terrassa.cat,Socrata
performance.smcgov.org,Socrata
reportcard.santamonicayouth.net,Socrata
stat.cityofgainesville.org,Socrata
transparenz.karlsruhe.de,CKAN
westsacramento.demo.socrata.com,Socrata
wfp.demo.socrata.com/login,Socrata
www.criminalytics.org,Socrata
www.dallasopendata.com,Socrata
www.data.vic.gov.au,CKAN
www.dati.friuliveneziagiulia.it,Socrata
www.opendataphilly.org,CKAN
www.opengov-muenchen.de,CKAN
