url,active,validated,manually_checked_api,suspected_api,api_working,api_version,error_type
apigobiernoabiertocatalog.valencia.es,False,False,CKAN,,,,['HTTPS and HTTP requests failed']
belohorizonte.azure-eastus-prod.socrata.com,False,False,Socrata,,,,['HTTPS and HTTP requests failed']
berkeley.demo.socrata.com,False,False,Socrata,,,,['HTTPS and HTTP requests failed']
bermuda.io,False,False,CKAN,,,,['HTTPS and HTTP requests failed']
bistrotdepays.opendatasoft.com,False,False,OpenDataSoft,,,,['HTTPS and HTTP requests failed']
bmgf.demo.socrata.com,False,False,Socrata,,,,['HTTPS and HTTP requests failed']
bristol.azure-westeurope-prod.socrata.com,False,False,Socrata,,,,['HTTPS and HTTP requests failed']
catalogo.datosabiertos.gob.ec,False,False,CKAN,,,,['HTTPS and HTTP requests failed']
catalogue.datalocale.fr,False,False,CKAN,,,,['HTTPS and HTTP requests failed']
cdph.data.ca.gov,False,False,Socrata,,,,['HTTPS and HTTP requests failed']
ckan.data.graz.gv.at,False,False,CKAN,,,,['HTTPS and HTTP requests failed']
ckan.data.ktn.gv.at,False,False,CKAN,,,,['HTTPS and HTTP requests failed']
ckan.gsi.go.jp,False,False,CKAN,,,,['HTTPS and HTTP requests failed']
ckan.odp.jig.jp,False,False,CKAN,,,,['HTTPS and HTTP requests failed']
ckanau.org,False,False,CKAN,,,,['HTTPS and HTTP requests failed']
dartportal.leeds.ac.uk,False,False,CKAN,,,,['HTTPS and HTTP requests failed']
data.aberdeencity.gov.uk,False,False,CKAN,,,,['HTTPS and HTTP requests failed']
data.act.gov.au,False,False,Socrata,,,,['HTTPS and HTTP requests failed']
data.amsterdamopendata.nl,False,False,CKAN,,,,['HTTPS and HTTP requests failed']
data.atf.gov,False,False,Socrata,,,,['HTTPS and HTTP requests failed']
data.cityofdeleon.org,False,False,Socrata,,,,['HTTPS and HTTP requests failed']
data.cityofnewyork.us,False,False,Socrata,,,,['HTTPS and HTTP requests failed']
data.cityofsantacruz.com,False,False,CKAN,,,,['HTTPS and HTTP requests failed']
data.cms.hhs.gov,False,False,Socrata,,,,['HTTPS and HTTP requests failed']
data.consumerfinance.gov,False,False,Socrata,,,,['HTTPS and HTTP requests failed']
data.dcpcsb.org,False,False,Socrata,,,,['HTTPS and HTTP requests failed']
