url,active,validated,manually_checked_api,suspected_api,api_working,api_version,error_type
http://ab.gov.ag,True,True,,Unknown,,,
http://agridata.tn,True,True,,CKAN,True,2.6.6,
http://amskv.sepa.gov.rs,True,True,,Unknown,,,
http://amsterdamopendata.nl,True,True,,Unknown,,,
http://asamblea.go.cr,True,False,,,,,['ConnectTimeout']
http://bbs.gov.bd,True,True,,Unknown,,,
http://bhas.ba,True,True,,Unknown,,,
http://bmf.gv.at,True,True,,Unknown,,,
http://bmlfuw.gv.at,True,True,,Unknown,,,
http://camara.sp.gov.br,True,True,,Unknown,,,
http://cavgp.opendata.arcgis.com,True,True,,Unknown,,,
http://cepii.fr,True,True,,Unknown,,,
http://codigopostal.gob.pe,True,True,,Unknown,,,
http://comprasal.gob.sv,True,False,,,,,['SSLError']
http://conabio.gob.mx,True,True,,Unknown,,,
http://data.treasury.ri.gov,True,True,,CKAN,True,2.3,
http://data.ug,True,True,,CKAN,True,2.5.3,
http://daten.bremen.de,True,True,,Unknown,,,
http://daten.halle.de,True,True,,Unknown,,,
http://daten.rlp.de,True,True,,CKAN,True,2.9.9,
http://datiopen.it,True,True,,Unknown,,,
http://datosabiertos.jcyl.es,True,True,,Unknown,,,
http://datosabiertos.mendoza.gov.ar,True,True,,CKAN,True,2.7.6,
http://dlrs.gov.bd,True,True,,Unknown,,,
http://dolrm.gov.np,True,True,,Unknown,,,
http://econ.yale.edu,True,True,,Unknown,,,
http://ecowrex.org,True,True,,Unknown,,,
http://education.gov.sc,True,False,,,,,['ConnectionError']
http://eduinfo.co.uk,True,True,,Unknown,,,
http://emisionestoxicaspr.org,True,True,,Unknown,,,
http://epa.sa.gov.au,True,True,,Unknown,,,
http://fairfieldoh.gov,True,True,,Unknown,,,
http://finance.gov.ls,True,False,,,,,['ConnectionError']
http://finance.gov.pk,True,False,,,,,['ConnectTimeout']
http://finances.gov.tn,True,True,,Unknown,,,
http://finlex.net,True,True,,Unknown,,,
http://floridahasarighttoknow.com,True,True,,Unknown,,,
http://gacetaoficialdebolivia.gob.bo,True,True,,Unknown,,,
http://gdb-pur.com,True,True,,Unknown,,,
http://geoportal.cl,True,False,,,,,['ConnectionError']
http://geosask.ca,True,True,,Unknown,,,
http://geovendee.fr,True,True,,Unknown,,,
http://governoaberto.sp.gov.br,True,False,,,,,['ConnectionError']
http://grundbuchportal.de,True,False,,,,,['ConnectionError']
http://hnms.gr,True,True,,Unknown,,,
http://ideam.gov.co,True,True,,Unknown,,,
